"Time","count","Type"
"0.5h",133,"5Z_driven"
"0.5h",920,"PI5Z_specific"
"0.5h",1278,"PI_driven"
"0.5h",1773,"Coordinated"
"2h",138,"5Z_driven"
"2h",261,"PI_driven"
"2h",518,"PI5Z_specific"
"2h",600,"Coordinated"
"8h",348,"PI_driven"
"8h",374,"5Z_driven"
"8h",984,"PI5Z_specific"
"8h",1707,"Coordinated"
