"Time","count","Type"
"0.5h",161,"PI_driven"
"0.5h",268,"PD_driven"
"0.5h",542,"PIPD_specific"
"0.5h",1806,"Coordinated"
"2h",46,"PI_driven"
"2h",128,"PD_driven"
"2h",253,"PIPD_specific"
"2h",453,"Coordinated"
"8h",151,"PI_driven"
"8h",307,"PD_driven"
"8h",573,"PIPD_specific"
"8h",1527,"Coordinated"
