Gene,Cluster
ENSG00000103257,15
ENSG00000103260,11
ENSG00000103381,20
ENSG00000103404,3
ENSG00000103423,17
ENSG00000103460,2
ENSG00000103507,11
ENSG00000103534,9
ENSG00000103540,8
ENSG00000103550,17
ENSG00000103642,16
ENSG00000103811,13
ENSG00000103855,20
ENSG00000103888,3
ENSG00000103932,6
ENSG00000103995,10
ENSG00000104064,10
ENSG00000104081,19
ENSG00000104093,3
ENSG00000104131,10
ENSG00000104142,12
ENSG00000104147,6
ENSG00000104154,19
ENSG00000104213,7
ENSG00000104228,3
ENSG00000104231,2
ENSG00000104267,17
ENSG00000104325,13
ENSG00000104331,17
ENSG00000104361,7
ENSG00000104368,4
ENSG00000104413,16
ENSG00000104419,7
ENSG00000104427,2
ENSG00000104442,6
ENSG00000104450,17
ENSG00000104472,17
ENSG00000104518,13
ENSG00000104549,11
ENSG00000104635,20
ENSG00000104689,17
ENSG00000104738,10
ENSG00000104783,5
ENSG00000104805,13
ENSG00000104808,13
ENSG00000104812,11
ENSG00000104814,15
ENSG00000104823,13
ENSG00000104824,6
ENSG00000104825,10
ENSG00000104856,2
ENSG00000104870,13
ENSG00000104872,10
ENSG00000104883,13
ENSG00000104884,11
ENSG00000104888,7
ENSG00000104889,10
ENSG00000104907,17
ENSG00000104946,11
ENSG00000104960,11
ENSG00000104964,7
ENSG00000104973,20
ENSG00000104980,2
ENSG00000105048,13
ENSG00000105088,15
ENSG00000105173,14
ENSG00000105185,10
ENSG00000105193,6
ENSG00000105197,10
ENSG00000105202,6
ENSG00000105270,13
ENSG00000105281,2
ENSG00000105289,7
ENSG00000105290,13
ENSG00000105327,20
ENSG00000105339,20
ENSG00000105357,13
ENSG00000105371,13
ENSG00000105376,7
ENSG00000105379,5
ENSG00000105388,14
ENSG00000105398,11
ENSG00000105402,5
ENSG00000105404,7
ENSG00000105419,13
ENSG00000105427,13
ENSG00000105447,10
ENSG00000105479,16
ENSG00000105492,3
ENSG00000105497,8
ENSG00000105499,15
ENSG00000105514,7
ENSG00000105516,20
ENSG00000105519,13
ENSG00000105520,7
ENSG00000105523,13
ENSG00000105538,13
ENSG00000105550,15
ENSG00000105559,13
ENSG00000105617,14
ENSG00000105643,16
ENSG00000105647,13
ENSG00000105649,11
ENSG00000105707,15
ENSG00000105717,3
ENSG00000105737,2
ENSG00000105738,15
ENSG00000105808,13
ENSG00000105821,10
ENSG00000105835,9
ENSG00000105865,9
ENSG00000105866,17
ENSG00000105926,17
ENSG00000105928,11
ENSG00000105929,7
ENSG00000105939,17
ENSG00000105948,10
ENSG00000105968,6
ENSG00000105974,11
ENSG00000105976,3
ENSG00000105982,13
ENSG00000106003,12
ENSG00000106025,7
ENSG00000106028,6
ENSG00000106069,17
ENSG00000106070,15
ENSG00000106077,3
ENSG00000106105,15
ENSG00000106123,17
ENSG00000106125,17
ENSG00000106211,11
ENSG00000106246,2
ENSG00000106258,13
ENSG00000106268,6
ENSG00000106305,10
ENSG00000106330,7
ENSG00000106333,7
ENSG00000106344,10
ENSG00000106351,19
ENSG00000106366,17
ENSG00000106367,5
ENSG00000106384,15
ENSG00000106392,9
ENSG00000106415,12
ENSG00000106477,17
ENSG00000106479,7
ENSG00000106524,7
ENSG00000106526,1
ENSG00000106537,13
ENSG00000106538,7
ENSG00000106546,13
ENSG00000106554,10
ENSG00000106628,10
ENSG00000106631,2
ENSG00000106665,7
ENSG00000106686,7
ENSG00000106701,3
ENSG00000106785,16
ENSG00000106799,15
ENSG00000106804,16
ENSG00000106823,15
ENSG00000106829,3
ENSG00000106948,15
ENSG00000107099,20
ENSG00000107104,20
ENSG00000107130,17
ENSG00000107201,16
ENSG00000107223,15
ENSG00000107249,17
ENSG00000107331,13
ENSG00000107338,3
ENSG00000107404,4
ENSG00000107438,2
ENSG00000107443,3
ENSG00000107537,13
ENSG00000107551,13
ENSG00000107566,17
ENSG00000107581,17
ENSG00000107614,10
ENSG00000107625,4
ENSG00000107719,3
ENSG00000107731,15
ENSG00000107798,7
ENSG00000107815,17
ENSG00000107821,20
ENSG00000107833,6
ENSG00000107864,20
ENSG00000107882,11
ENSG00000107902,15
ENSG00000107937,17
ENSG00000107968,13
ENSG00000107984,16
ENSG00000108010,6
ENSG00000108021,17
ENSG00000108055,10
ENSG00000108064,10
ENSG00000108106,10
ENSG00000108179,10
ENSG00000108187,15
ENSG00000108352,20
ENSG00000108370,6
ENSG00000108384,6
ENSG00000108387,19
ENSG00000108551,2
ENSG00000108559,6
ENSG00000108561,6
ENSG00000108602,20
ENSG00000108651,17
ENSG00000108679,15
ENSG00000108771,13
ENSG00000108788,4
ENSG00000108797,13
ENSG00000108813,7
ENSG00000108829,10
ENSG00000108840,13
ENSG00000108852,11
ENSG00000108960,9
ENSG00000108961,6
ENSG00000108984,20
ENSG00000109062,11
ENSG00000109084,6
ENSG00000109101,19
ENSG00000109103,20
ENSG00000109107,7
ENSG00000109205,20
ENSG00000109436,13
ENSG00000109452,2
ENSG00000109458,20
ENSG00000109466,2
ENSG00000109519,10
ENSG00000109534,17
ENSG00000109572,7
ENSG00000109576,17
ENSG00000109618,20
ENSG00000109674,6
ENSG00000109685,10
ENSG00000109686,2
ENSG00000109762,4
ENSG00000109787,16
ENSG00000109790,2
ENSG00000109805,6
ENSG00000109814,5
ENSG00000109846,13
ENSG00000109881,6
ENSG00000109929,19
ENSG00000110002,13
ENSG00000110011,13
ENSG00000110013,15
ENSG00000110042,20
ENSG00000110046,11
ENSG00000110057,15
ENSG00000110063,6
ENSG00000110080,5
ENSG00000110092,3
ENSG00000110104,10
ENSG00000110108,10
ENSG00000110195,13
ENSG00000110237,13
ENSG00000110274,18
ENSG00000110315,13
ENSG00000110375,13
ENSG00000110400,5
ENSG00000110446,15
ENSG00000110455,13
ENSG00000110492,13
ENSG00000110628,13
ENSG00000110651,13
ENSG00000110660,17
ENSG00000110719,11
ENSG00000110723,17
ENSG00000110841,2
ENSG00000110876,11
ENSG00000110881,13
ENSG00000110888,9
ENSG00000110921,5
ENSG00000110944,17
ENSG00000111012,17
ENSG00000111057,3
ENSG00000111077,15
ENSG00000111087,7
ENSG00000111110,15
ENSG00000111196,10
ENSG00000111206,6
ENSG00000111231,6
ENSG00000111247,6
ENSG00000111266,16
ENSG00000111276,11
ENSG00000111300,10
ENSG00000111319,13
ENSG00000111331,2
ENSG00000111335,13
ENSG00000111348,12
ENSG00000111358,14
ENSG00000111364,17
ENSG00000111371,2
ENSG00000111412,20
ENSG00000111424,6
ENSG00000111445,10
ENSG00000111450,17
ENSG00000111490,17
ENSG00000111540,20
ENSG00000111581,6
ENSG00000111641,10
ENSG00000111653,20
ENSG00000111665,6
ENSG00000111678,6
ENSG00000111684,13
ENSG00000111696,17
ENSG00000111700,4
ENSG00000111726,13
ENSG00000111788,10
ENSG00000111801,13
ENSG00000111817,8
ENSG00000111845,17
ENSG00000111859,9
ENSG00000111860,1
ENSG00000111885,7
ENSG00000111913,19
ENSG00000111962,13
ENSG00000112029,17
ENSG00000112031,17
ENSG00000112053,15
ENSG00000112078,3
ENSG00000112079,7
ENSG00000112110,6
ENSG00000112118,17
ENSG00000112149,17
ENSG00000112159,17
ENSG00000112186,1
ENSG00000112212,13
ENSG00000112242,3
ENSG00000112245,14
ENSG00000112293,13
ENSG00000112294,13
ENSG00000112297,20
ENSG00000112306,6
ENSG00000112312,10
ENSG00000112343,20
ENSG00000112365,17
ENSG00000112414,3
ENSG00000112419,15
ENSG00000112473,20
ENSG00000112494,15
ENSG00000112511,16
ENSG00000112514,5
ENSG00000112559,17
ENSG00000112576,3
ENSG00000112578,17
ENSG00000112651,10
ENSG00000112655,13
ENSG00000112701,8
ENSG00000112715,15
ENSG00000112742,6
ENSG00000112759,10
ENSG00000112773,19
ENSG00000112782,15
ENSG00000112851,13
ENSG00000112852,5
ENSG00000112877,17
ENSG00000112902,13
ENSG00000112972,5
ENSG00000112984,6
ENSG00000113013,14
ENSG00000113070,2
ENSG00000113108,13
ENSG00000113119,15
ENSG00000113161,5
ENSG00000113300,19
ENSG00000113356,10
ENSG00000113369,19
ENSG00000113407,15
ENSG00000113448,16
ENSG00000113460,17
ENSG00000113504,16
ENSG00000113552,19
ENSG00000113569,10
ENSG00000113594,2
ENSG00000113645,9
ENSG00000113657,20
ENSG00000113712,15
ENSG00000113739,15
ENSG00000113742,9
ENSG00000113790,11
ENSG00000113810,6
ENSG00000114113,13
ENSG00000114120,13
ENSG00000114166,7
ENSG00000114268,11
ENSG00000114315,7
ENSG00000114346,17
ENSG00000114353,11
ENSG00000114378,7
ENSG00000114395,6
ENSG00000114446,13
ENSG00000114455,11
ENSG00000114541,13
ENSG00000114626,13
ENSG00000114656,7
ENSG00000114670,16
ENSG00000114686,10
ENSG00000114737,13
ENSG00000114767,10
ENSG00000114770,11
ENSG00000114784,12
ENSG00000114796,13
ENSG00000114805,7
ENSG00000114841,2
ENSG00000114854,13
ENSG00000114933,14
ENSG00000114942,10
ENSG00000115053,10
ENSG00000115107,11
ENSG00000115129,20
ENSG00000115163,6
ENSG00000115183,3
ENSG00000115221,3
ENSG00000115233,6
ENSG00000115241,10
ENSG00000115255,13
ENSG00000115257,13
ENSG00000115266,1
ENSG00000115267,13
ENSG00000115271,13
ENSG00000115290,3
ENSG00000115295,13
ENSG00000115306,2
ENSG00000115318,17
ENSG00000115325,20
ENSG00000115339,15
ENSG00000115350,10
ENSG00000115355,6
ENSG00000115368,10
ENSG00000115386,15
ENSG00000115415,15
ENSG00000115419,17
ENSG00000115423,7
ENSG00000115457,13
ENSG00000115461,4
ENSG00000115507,12
ENSG00000115525,7
ENSG00000115568,10
ENSG00000115594,16
ENSG00000115596,20
ENSG00000115616,9
ENSG00000115641,9
ENSG00000115648,13
ENSG00000115738,16
ENSG00000115758,10
ENSG00000115761,17
ENSG00000115840,6
ENSG00000115875,17
ENSG00000115902,2
ENSG00000115904,19
ENSG00000115946,17
ENSG00000115963,9
ENSG00000116005,19
ENSG00000116062,17
ENSG00000116096,18
ENSG00000116106,4
ENSG00000116117,15
ENSG00000116120,10
ENSG00000116127,17
ENSG00000116128,20
ENSG00000116133,5
ENSG00000116171,13
ENSG00000116191,20
ENSG00000116221,6
ENSG00000116285,9
ENSG00000116299,5
ENSG00000116337,1
ENSG00000116396,3
ENSG00000116406,9
ENSG00000116455,6
ENSG00000116574,20
ENSG00000116584,13
ENSG00000116649,10
ENSG00000116663,7
ENSG00000116667,17
ENSG00000116668,7
ENSG00000116679,3
ENSG00000116701,10
ENSG00000116717,16
ENSG00000116750,10
ENSG00000116761,13
ENSG00000116774,13
ENSG00000116791,5
ENSG00000116793,20
ENSG00000116830,6
ENSG00000116833,20
ENSG00000116852,15
ENSG00000116885,20
ENSG00000116922,10
ENSG00000116962,15
ENSG00000117009,11
ENSG00000117016,13
ENSG00000117054,15
ENSG00000117143,17
ENSG00000117174,4
ENSG00000117226,13
ENSG00000117228,15
ENSG00000117266,13
ENSG00000117298,17
ENSG00000117305,13
ENSG00000117318,5
ENSG00000117385,13
ENSG00000117394,3
ENSG00000117395,10
ENSG00000117399,6
ENSG00000117461,19
ENSG00000117472,15
ENSG00000117479,19
ENSG00000117505,9
ENSG00000117519,7
ENSG00000117525,4
ENSG00000117597,17
ENSG00000117625,19
ENSG00000117643,11
ENSG00000117650,6
ENSG00000117691,13
ENSG00000117707,16
ENSG00000117724,6
ENSG00000117877,17
ENSG00000117984,13
ENSG00000118137,15
ENSG00000118193,6
ENSG00000118194,15
ENSG00000118246,10
ENSG00000118257,20
ENSG00000118276,9
ENSG00000118292,15
ENSG00000118322,15
ENSG00000118369,11
ENSG00000118418,5
ENSG00000118496,16
ENSG00000118503,16
ENSG00000118508,9
ENSG00000118513,10
ENSG00000118515,4
ENSG00000118523,9
ENSG00000118600,17
ENSG00000118620,10
ENSG00000118640,11
ENSG00000118655,10
ENSG00000118690,18
ENSG00000118804,19
ENSG00000118894,17
ENSG00000118939,6
ENSG00000118960,7
ENSG00000118985,18
ENSG00000119125,4
ENSG00000119138,13
ENSG00000119139,9
ENSG00000119227,15
ENSG00000119285,10
ENSG00000119326,17
ENSG00000119333,10
ENSG00000119397,20
ENSG00000119403,5
ENSG00000119408,3
ENSG00000119431,20
ENSG00000119547,6
