"Cluster_ID" "Drug" "Cluster" "Onset" "Direction" "Peak" "Trend" "Diff_than_DMSO" "Full_name"
"PI_17" "PI" 17 1 "Up" 4 "Stable" 1 "Onset_1h_Up_Peak_4h_Stable"
"PI_18" "PI" 18 1 "Down" 4 "Transitory" 1 "Onset_1h_Down_Peak_4h_Transitory"
"PI_19" "PI" 19 2 "Down" 8 "Reversed" 1 "Onset_2h_Down_Peak_8h_Reversed"
"PI_20" "PI" 20 1 "Down" 4 "Complex" 1 "Onset_1h_Down_Peak_4h_Complex"
"PIOXO_1" "PIOXO" 1 1 "Down" 4 "Transitory" 1 "Onset_1h_Down_Peak_4h_Transitory"
"PIOXO_2" "PIOXO" 2 1 "Up" 4 "Transitory" 1 "Onset_1h_Up_Peak_4h_Transitory"
"PIOXO_3" "PIOXO" 3 1 "Up" 4 "Reduced" 1 "Onset_1h_Up_Peak_4h_Reduced"
"PIOXO_4" "PIOXO" 4 1 "Up" 8 "Stable" 1 "Onset_1h_Up_Peak_8h_Stable"
"PIOXO_5" "PIOXO" 5 1 "Up" 4 "Reversed" 1 "Onset_1h_Up_Peak_4h_Reversed"
"PIOXO_6" "PIOXO" 6 2 "Down" 8 "Reversed" 1 "Onset_2h_Down_Peak_8h_Reversed"
"PIOXO_7" "PIOXO" 7 1 "Down" 8 "Reduced" 1 "Onset_1h_Down_Peak_8h_Reduced"
"PIOXO_8" "PIOXO" 8 4 "Up" 8 "Stable" 1 "Onset_4h_Up_Peak_8h_Stable"
"PIOXO_9" "PIOXO" 9 8 "Down" 24 "Continuous" 1 "Onset_8h_Down_Peak_24h_Continuous"
"PIOXO_10" "PIOXO" 10 4 "Up" 24 "Continuous" 0 "Onset_4h_Up_Peak_24h_Continuous"
"PIOXO_11" "PIOXO" 11 1 "Down" 24 "Continuous" 1 "Onset_1h_Down_Peak_24h_Continuous"
"PIOXO_12" "PIOXO" 12 1 "Up" 8 "Transitory" 1 "Onset_1h_Up_Peak_8h_Transitory"
"PIOXO_13" "PIOXO" 13 1 "Up" 4 "Complex" 1 "Onset_1h_Up_Peak_4h_Complex"
"PIOXO_14" "PIOXO" 14 0 "Down" 2 "Stable" 1 "Onset_0h_Down_Peak_2h_Stable"
"PIOXO_15" "PIOXO" 15 1 "Down" 8 "Reduced" 1 "Onset_1h_Down_Peak_8h_Reduced"
"PIOXO_16" "PIOXO" 16 2 "Down" 8 "Transitory" 1 "Onset_2h_Down_Peak_8h_Transitory"
"PIOXO_17" "PIOXO" 17 2 "Down" 4 "Transitory" 1 "Onset_2h_Down_Peak_4h_Transitory"
"PIOXO_18" "PIOXO" 18 1 "Up" 8 "Reduced" 1 "Onset_1h_Up_Peak_8h_Reduced"
"PIOXO_19" "PIOXO" 19 1 "Down" 4 "Transitory" 1 "Onset_1h_Down_Peak_4h_Transitory"
"PIOXO_20" "PIOXO" 20 4 "Up" 8 "Transitory" 1 "Onset_4h_Up_Peak_8h_Transitory"
"PIPD_1" "PIPD" 1 2 "Up" 8 "Transitory" 1 "Onset_2h_Up_Peak_8h_Transitory"
"PIPD_2" "PIPD" 2 2 "Up" 8 "Stable" 1 "Onset_2h_Up_Peak_8h_Stable"
"PIPD_3" "PIPD" 3 1 "Up" 4 "Transitory" 1 "Onset_1h_Up_Peak_4h_Transitory"
"PIPD_4" "PIPD" 4 1 "Down" 4 "Transitory" 1 "Onset_1h_Down_Peak_4h_Transitory"
"PIPD_5" "PIPD" 5 1 "Down" 4 "Reduced" 1 "Onset_1h_Down_Peak_4h_Reduced"
"PIPD_6" "PIPD" 6 1 "Up" 4 "Stable" 1 "Onset_1h_Up_Peak_4h_Stable"
"PIPD_7" "PIPD" 7 1 "Up" 4 "Reversed" 1 "Onset_1h_Up_Peak_4h_Reversed"
"PIPD_8" "PIPD" 8 2 "Down" 24 "Continuous" 1 "Onset_2h_Down_Peak_24h_Continuous"
