"Row.names","hclust_analysis","C.x","1h","2h","4h","8h","24h","C.y","DMSO_1h","DMSO_2h","DMSO_4h","DMSO_8h","DMSO_24h","CORR"
"ENSG00000184574",8,0,-0.0660465879794426,0.0310569797573211,0.908678130753462,2.01235072250302,-0.886458687332186,0,0.25102737246165,0.116614104750097,0.991612674410774,1.0929272656966,-1.68623257845769,0.863864051921637
"ENSG00000132196",8,0,0.0598022466442062,-0.11288065335746,1.14107077981753,2.27431439455344,-0.288884278092113,0,-0.0469730243296573,0.445385877322689,0.517503337390435,2.12991986801384,-0.880992537806405,0.865407426812423
"ENSG00000069702",8,0,0.0556918601799851,-0.0645226098861281,1.37022267292307,2.18067417630098,-0.312839930073782,0,0.91854613293969,-1.02930820381086,0.0253307908037868,1.35091218111832,-1.12885054901965,0.865771002171849
"ENSG00000052802",8,0,-0.353268018403026,-0.00152897292187387,1.00081552924999,1.7417936790103,-1.06388565327648,0,-0.179404129545215,0.039428911331677,0.563809151957561,0.917566516811208,-1.96769526227523,0.866717821164895
"ENSG00000162415",8,0,0.0306279064429648,-0.0386713396153765,1.62512245506319,2.12879435394545,-0.121060832997107,0,0.614049256976584,-0.12390807111634,1.12217567785454,1.33544102625846,-1.40125668868985,0.868569819061812
"ENSG00000123179",8,0,0.00624274364386801,0.746104359374385,1.4586743513066,2.61181369966612,0.546090604701971,0,-0.0629734458119423,0.133997197333014,0.0920410354627549,0.560971309632488,-2.24511270928446,0.871162662982266
"ENSG00000185432",8,0,-0.0723535412683027,0.0778591568756909,1.00504276275968,2.50337895254415,0.23645145825466,0,0.208894365239397,0.460767533365543,-0.352746256670652,1.95679263033169,-1.02493626974222,0.871705736867003
"ENSG00000259904",8,0,-0.266244128017596,-0.04397928177928,0.872803059732429,2.1854453231388,-0.489366629304192,0,0.80398132522627,-0.650410569501672,0.854660449875105,0.989680737050031,-1.50378245301225,0.872090759939799
"ENSG00000088002",8,0,-0.621477847614255,-0.931409272293549,0.28432316060655,1.78822240951155,-0.687273963008089,0,-0.354132466133049,-0.423952199463625,-0.516130833911642,0.228558884071014,-2.56345453461478,0.873071803942358
"ENSG00000139531",8,0,-0.075249936265745,0.141271137564741,1.15644616630541,2.05915331505012,-0.707804888145565,0,0.529817685311981,-0.275187451224292,0.655421520672501,1.66752202621198,-1.30507921126595,0.874247280091238
"ENSG00000101680",8,0,0.219436586015718,0.121436980882621,1.05711783122266,2.56951110038965,0.131294680867818,0,0.590256080270667,0.050907631309618,0.729229731764035,2.1600578459477,-0.821337986398654,0.877791000395165
"ENSG00000064787",8,0,0.0989904661973845,-0.114488405946515,0.317622919052608,2.5109291849535,0.132589882446684,0,-0.881817291375708,-0.962734555255819,0.168568804488483,0.591804348886082,-2.16166929430262,0.878518751075739
"ENSG00000162999",8,0,-0.289037788323121,-0.107599143367714,0.656998211634345,2.19890773652606,-0.516692784522251,0,0.378671309839729,-0.147317701702015,-0.457423777542328,1.67300157969626,-1.35212162367711,0.880787989187507
"ENSG00000001630",8,0,-0.45904355824109,0.454386471336556,1.28471122987738,2.13216872728342,-0.24373370497619,0,0.071384363720125,0.314319787040228,0.689106838388545,0.88140337753494,-1.90911939164624,0.881160093485765
"ENSG00000113790",8,0,0.0614459395282438,0.303000655506342,1.09487019156529,2.32500033261765,-0.425130955832677,0,-0.0718490503567553,-0.0170553558615665,-1.16650827901668,0.723976323902183,-2.05548663634708,0.881245190438861
"ENSG00000143891",8,0,0.256818573227625,0.277427060548744,0.858882038962806,2.17356789983746,-0.812150761931491,0,0.370556461898292,0.190991344026598,0.476668149081451,1.24312126204535,-1.76036435771553,0.881771133596547
"ENSG00000269564",8,0,-0.31326633249635,-0.285840385035972,0.251536503504874,1.90934846528993,-1.07289850661386,0,-1.18389674600772,-0.857352421797641,-0.52998350139317,0.0178043190422835,-2.67016757511335,0.883899601597158
