"gene_name","logFC_5Z_1h","logFC_PI_1h","logFC_PD_1h","logFC_PIPD_1h","logFC_PI5Z_1h","logFC_5Z_2h","logFC_PI_2h","logFC_PD_2h","logFC_PIPD_2h","logFC_PI5Z_2h","logFC_5Z_4h","logFC_PI_4h","logFC_PD_4h","logFC_PIPD_4h","logFC_PI5Z_4h","logFC_5Z_8h","logFC_PI_8h","logFC_PD_8h","logFC_PIPD_8h","logFC_PI5Z_8h","logFC_5Z_24h","logFC_PI_24h","logFC_PD_24h","logFC_PIPD_24h","logFC_PI5Z_24h","adj.P.Val_5Z_1h","adj.P.Val_PI_1h","adj.P.Val_PD_1h","adj.P.Val_PIPD_1h","adj.P.Val_PI5Z_1h","adj.P.Val_5Z_2h","adj.P.Val_PI_2h","adj.P.Val_PD_2h","adj.P.Val_PIPD_2h","adj.P.Val_PI5Z_2h","adj.P.Val_5Z_4h","adj.P.Val_PI_4h","adj.P.Val_PD_4h","adj.P.Val_PIPD_4h","adj.P.Val_PI5Z_4h","adj.P.Val_5Z_8h","adj.P.Val_PI_8h","adj.P.Val_PD_8h","adj.P.Val_PIPD_8h","adj.P.Val_PI5Z_8h","adj.P.Val_5Z_24h","adj.P.Val_PI_24h","adj.P.Val_PD_24h","adj.P.Val_PIPD_24h","adj.P.Val_PI5Z_24h"
"SERTAD3",NA,-1.08820991963888,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000114168863094456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BCL6",NA,1.32485844353152,NA,NA,1.09121879725016,NA,2.34575676027495,NA,1.8485274333235,1.93133830558267,NA,1.5050230224547,NA,1.59223488038884,1.78523308071999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000153448416199197,NA,NA,0.00423273496237947,NA,1.80030699213282e-13,NA,1.25729866889255e-09,9.2152379986211e-10,NA,3.95949177439638e-08,NA,3.08428330591384e-09,1.3456868178235e-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GDF15",NA,1.04961045399929,NA,NA,NA,-1.02177180235641,1.6631072200402,NA,NA,NA,NA,1.47271213906323,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.03973335053329,-1.38814777255252,-1.7036895557165,-1.24979061991431,NA,0.000499672074830289,NA,NA,NA,0.000829731029033059,4.13055507835177e-10,NA,NA,NA,NA,2.28271527147436e-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.78507061655134e-06,2.13918930226112e-09,2.92055768100284e-12,5.07435514202585e-08
"FRAT1",NA,1.26521420324117,NA,1.38357438045747,1.31266783505162,NA,2.62846912244211,NA,2.57681220299501,2.47579989974721,NA,2.68590617858677,NA,2.7675517720624,2.6840507209429,NA,1.19659115537989,NA,1.46396123052339,1.2262709362615,NA,NA,NA,NA,NA,NA,0.000117003730842501,NA,5.30693085339286e-06,3.24121968924347e-05,NA,9.62054146150865e-17,NA,1.9094965958997e-16,4.72899650668508e-15,NA,3.16229657544833e-17,NA,2.30920333735734e-18,1.80616391823117e-17,NA,2.40878166734841e-07,NA,3.65360778652415e-11,2.12363332145074e-08,NA,NA,NA,NA,NA
"ATF3",NA,1.05025734402202,NA,1.10896796142065,NA,-1.03945155000725,1.563414589871,NA,1.25722554378129,NA,-1.0726040292518,1.14406431519837,NA,1.34029511559578,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00269232519012955,NA,0.000579793987676086,NA,0.0269560462053959,1.55394698705086e-07,NA,1.74648526760777e-05,NA,0.000381838549852246,1.0467188381723e-05,NA,2.11779537354401e-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FOS",NA,1.22341776522564,NA,-2.21123580362687,NA,-2.53389221079148,1.15117174523638,-2.77865861810821,-2.26587457926647,-2.53416493805899,-3.8642660980628,NA,-3.40016433852601,-2.23379967791565,-3.09896940371105,-2.68885700546288,NA,-3.59165356662247,-1.45378881342318,-1.20968534518158,NA,NA,NA,NA,1.08284271862431,NA,0.00499442962571683,NA,0.00168472794856645,NA,0.00226192985894402,0.00353918953141355,0.00132126927628162,0.00113664753555875,0.00191978953543647,3.59634926572374e-06,NA,4.9715310229728e-06,9.18387269704754e-05,2.40473126119154e-05,1.27712155369716e-05,NA,8.71986608834693e-06,0.000361955901715492,0.00319526093342866,NA,NA,NA,NA,5.61834696885781e-06
"BNIP5",NA,1.65145884924681,NA,1.99571418339104,NA,NA,3.4596630787087,NA,4.57299851661905,2.88337800117546,NA,3.63971588839262,2.01296820879118,5.92836654706742,4.0038442704794,NA,2.30569300909609,2.88784587583148,4.91156290060214,2.59469660458389,NA,3.07782009296863,4.45138266746645,6.05888843498752,2.82459803111879,NA,0.0496620456328334,NA,0.00171096160402251,NA,NA,7.48822499422996e-08,NA,4.77913978854254e-12,1.24577647303226e-05,NA,2.01333470374989e-07,0.00909278160830431,9.51166971776157e-15,1.03959446686542e-08,NA,0.000122789016984597,1.31077055848279e-06,7.21477438656146e-15,4.41082078027324e-06,NA,1.61075548355185e-06,1.1102358925636e-11,4.92123635711327e-17,9.46065408963089e-06
"MYC",NA,NA,-1.34974211651288,-1.11353162167785,NA,-1.14865188549228,NA,-1.76289244909009,-1.1129666092809,NA,-2.0256548576753,NA,-1.68319822079385,NA,-1.19408644263982,NA,NA,-1.58707855025588,NA,NA,NA,NA,-1.09328561832992,NA,NA,NA,NA,6.36148782740522e-06,3.61104215409479e-06,NA,1.4427674474725e-06,NA,1.42728743309213e-11,4.74117528843266e-07,NA,3.24653557184549e-15,NA,1.28326187924464e-12,NA,1.49796708152757e-08,NA,NA,8.41705312840518e-12,NA,NA,NA,NA,1.02430142127556e-08,NA,NA
"SPRY4",NA,NA,-1.98688379650653,-1.72974844212483,NA,-3.97798281533654,NA,-5.40206197204867,-4.57397923013003,-3.26302505871889,-5.50842581288438,NA,-5.92173836117948,-4.74579351930914,-5.8063027937713,-3.49409378630158,NA,-4.50652666183803,-3.97781779478008,-3.89713848063059,NA,NA,-3.64044909120264,-3.80680459982007,NA,NA,NA,1.08183428255525e-05,3.56102076429779e-07,NA,2.33427319644993e-11,NA,1.95142798360512e-10,1.34829853056021e-11,4.63653214105133e-10,3.40863740094966e-14,NA,8.10680342938775e-14,3.53423202660956e-14,2.03683907469363e-12,5.89063677315873e-15,NA,1.97906017310607e-13,1.15009604990591e-17,2.12792421099026e-16,NA,NA,7.91936361206458e-21,2.45623835585426e-19,NA
"SPRY2",NA,NA,-1.23494543102816,NA,NA,-1.5787684257903,NA,-1.66267159353919,NA,-1.1950737344722,-1.50859167866869,NA,-1.43616702612167,NA,-1.46808732636917,NA,NA,-1.02194379171571,NA,-1.00799901401315,NA,NA,NA,NA,NA,NA,NA,5.20807627369659e-05,NA,NA,7.64372033431351e-10,NA,6.28780838824021e-10,NA,6.27070767331397e-07,1.44681361350957e-11,NA,3.74738443091981e-11,NA,1.64163454179563e-10,NA,NA,1.55737939664578e-07,NA,1.58022468384247e-08,NA,NA,NA,NA,NA
"PHLDA1",NA,NA,-1.34044938481724,-1.34820820224386,NA,-1.28927151106022,NA,-2.77490113852898,-2.78322204560223,-1.29381170668139,-2.35485398636984,NA,-2.93141258184251,-3.2005036530862,-2.71191019929021,-1.45719694225333,NA,-2.78286513169477,-3.14256987958102,-2.33677592276662,NA,-1.39596435958391,-3.82060291851113,-4.77056425964285,-2.39105383893684,NA,NA,0.000282877255634053,3.03125292878229e-06,NA,7.66844997270665e-06,NA,1.55210834379739e-12,3.0758042736371e-13,5.07812733284295e-06,2.26632812501526e-14,NA,1.10956336410254e-16,8.68310276290786e-17,8.69567608322428e-15,3.76585062941277e-09,NA,4.83522672847034e-15,8.80341144488633e-19,3.46775681971896e-15,NA,5.60088858140374e-10,3.70819918347815e-25,2.40393164926833e-25,2.15810165217194e-17
