"gene_name","Condition","Drug","Time","logFC","adj.P.Val"
"C17orf113","PI5Z_4h","PI5Z","4h",1.19273599425589,6.54819216720999e-06
"C17orf113","PI5Z_8h","PI5Z","8h",1.163809813926,6.46171328264221e-07
"C17orf49","PI5Z_24h","PI5Z","24h",-1.08194951291035,0.0131761351496028
"C1GALT1C1L","PI5Z_4h","PI5Z","4h",1.09864594341128,0.0196047476222598
"C1orf21","PI5Z_24h","PI5Z","24h",1.27406241724157,1.27296278109113e-10
"C1QTNF3","PI5Z_24h","PI5Z","24h",1.4218964631771,0.0126229279776042
"C1QTNF6","PI5Z_24h","PI5Z","24h",1.07593619275317,0.000110602397930371
"C1RL","PI5Z_8h","PI5Z","8h",1.00472682448445,5.78930411531734e-12
"C21orf62-AS1","PI5Z_8h","PI5Z","8h",1.11382517234199,0.00300011216025364
"C2CD4A","PI5Z_4h","PI5Z","4h",-1.1783987211153,0.000966263972909798
"C2orf72","PI5Z_24h","PI5Z","24h",1.14347272520976,2.28104275990227e-13
"C2orf88","PI5Z_8h","PI5Z","8h",-1.60375614330406,0.000301533539233682
"C7orf31","PI5Z_24h","PI5Z","24h",-1.27141687617017,1.50224198659393e-06
"C8orf44","PI5Z_8h","PI5Z","8h",1.32931810961487,6.70192734009721e-06
"C9orf116","PI5Z_24h","PI5Z","24h",1.15205305975757,0.000120064038749971
"CALCOCO2","PI5Z_24h","PI5Z","24h",-1.27516563652303,5.97660699551368e-11
"CALML4","PI5Z_24h","PI5Z","24h",1.00847296577736,0.000192138411761157
"CAMK2N2","PI5Z_24h","PI5Z","24h",1.21827446316383,3.12312276940128e-13
"CAMKK1","PI5Z_4h","PI5Z","4h",-1.05694439328103,3.85224016048644e-06
"CAPS","PI5Z_8h","PI5Z","8h",1.16670393865112,4.9447465034543e-05
"CARD8-AS1","PI5Z_4h","PI5Z","4h",1.35025497407358,1.01833774351381e-09
"CBS","PI5Z_4h","PI5Z","4h",-2.47973917870925,0.0369587052175281
"CBWD6","PI5Z_24h","PI5Z","24h",-1.18756993796123,0.000515853548548903
"CCDC113","PI5Z_24h","PI5Z","24h",-1.01431365704027,2.64173107408941e-07
"CCDC138","PI5Z_8h","PI5Z","8h",-1.0333585939962,2.80305129319891e-09
"CCDC17","PI5Z_24h","PI5Z","24h",-1.13364222151088,0.011875357032887
"CCDC18-AS1","PI5Z_4h","PI5Z","4h",1.0674584744625,0.00913870476198205
"CCDC183","PI5Z_8h","PI5Z","8h",1.85354293857483,0.00065600797742683
"CCDC183","PI5Z_24h","PI5Z","24h",1.20913733747641,0.0301785540324174
"CCDC189","PI5Z_24h","PI5Z","24h",1.07268487425516,2.27849196049864e-05
"CCDC62","PI5Z_8h","PI5Z","8h",1.13673329520953,0.00421166419401172
"CCDC77","PI5Z_4h","PI5Z","4h",1.32577706218698,2.08103555526627e-12
"CCDC78","PI5Z_24h","PI5Z","24h",1.15281678536102,5.7275829983439e-07
"CCDC88A","PI5Z_24h","PI5Z","24h",-1.30326088145222,2.26476066475147e-17
"CCL5","PI5Z_24h","PI5Z","24h",1.43369274856942,2.27093758930004e-10
"CCNB1IP1","PI5Z_24h","PI5Z","24h",-1.23231810986197,4.75323496521122e-11
"CCNB2","PI5Z_24h","PI5Z","24h",-1.05937260986591,1.55469988313273e-09
"CCNE1","PI5Z_8h","PI5Z","8h",-1.32113932494275,4.81096093917447e-15
"CCNE1","PI5Z_24h","PI5Z","24h",1.03806320087819,9.30478500109578e-13
"CCNJ","PI5Z_4h","PI5Z","4h",-1.20006913548199,6.56306570902843e-10
"CCPG1","PI5Z_24h","PI5Z","24h",-1.30845461308909,1.71468061200669e-13
"CCT6B","PI5Z_4h","PI5Z","4h",1.23953696888322,0.0403346896970324
"CCT6B","PI5Z_8h","PI5Z","8h",1.64280253736847,0.00367101290226449
"CD101","PI5Z_4h","PI5Z","4h",-1.13054431732883,0.0200483120251859
"CD274","PI5Z_8h","PI5Z","8h",-1.08420221345536,1.45919137409909e-05
"CD274","PI5Z_24h","PI5Z","24h",-1.30089991988418,5.11040271383065e-08
"CD302","PI5Z_24h","PI5Z","24h",1.1452241392604,3.62863406464185e-05
"CDA","PI5Z_24h","PI5Z","24h",1.32800737514856,0.000173904350941439
"CDC14B","PI5Z_8h","PI5Z","8h",1.1093574422184,1.76645213690128e-19
"CDC25C","PI5Z_4h","PI5Z","4h",1.02891804329821,5.1568112638786e-08
"CDC6","PI5Z_8h","PI5Z","8h",-1.65312198278504,1.25229048230453e-18
"CDKL3","PI5Z_8h","PI5Z","8h",1.26290083031987,0.00377141132300848
"CDKN1A","PI5Z_24h","PI5Z","24h",-1.09284507889584,4.27428927854385e-11
"CDT1","PI5Z_24h","PI5Z","24h",1.09870585406205,3.93776311829574e-09
"CDX2","PI5Z_2h","PI5Z","2h",1.00733519534518,3.69272079189197e-12
