"gene_name","Condition","Drug","Time","logFC","adj.P.Val"
"UTP15","PIPD_24h","PIPD","24h",-1.07649104013612,7.94548085284256e-15
"UTP20","PIPD_8h","PIPD","8h",-1.4172255690002,1.62379443766295e-16
"UTP4","PIPD_8h","PIPD","8h",-1.25916127004668,2.36312426812408e-18
"UTS2R","PIPD_8h","PIPD","8h",1.15984223793463,0.00244589310469813
"VAMP8","PIPD_24h","PIPD","24h",1.29121468346235,2.10132837477393e-22
"VARS1","PIPD_8h","PIPD","8h",-1.10342171428757,3.06049502777483e-22
"VARS1","PIPD_24h","PIPD","24h",-1.31175118025817,3.27296378713978e-25
"VAV1","PIPD_24h","PIPD","24h",-1.00159322811059,4.40816454213008e-12
"VEGFB","PIPD_24h","PIPD","24h",1.2251391635184,5.5650362371113e-19
"VILL","PIPD_8h","PIPD","8h",1.24264475428398,1.28405078946916e-08
"VMAC","PIPD_4h","PIPD","4h",1.16357064972707,7.13378826597969e-07
"VN1R1","PIPD_4h","PIPD","4h",1.18848889003377,0.00269293726191491
