"gene_name","Condition","Drug","Time","logFC","adj.P.Val"
"RCL1","PIPD_24h","PIPD","24h",-1.09944057227702,4.22065071075151e-14
"REEP4","PIPD_24h","PIPD","24h",-1.1682357846878,5.02890628007722e-18
"RELB","PIPD_24h","PIPD","24h",1.22985168966844,1.06442660579296e-08
"RELT","PIPD_4h","PIPD","4h",-1.38750224717364,5.84214363427106e-11
"RELT","PIPD_8h","PIPD","8h",-1.53210884649995,1.38839266744892e-11
"RETREG2","PIPD_4h","PIPD","4h",1.00728403087652,5.3635730674955e-15
"RFC4","PIPD_24h","PIPD","24h",-1.17644150038395,6.3382587116342e-16
"RGL1","PIPD_24h","PIPD","24h",-1.07333301051243,1.14152301055893e-05
"RGMB","PIPD_24h","PIPD","24h",-1.02066250146359,3.85530989452335e-15
"RGPD4","PIPD_4h","PIPD","4h",1.03026167946889,1.08516548113391e-05
"RGPD4","PIPD_8h","PIPD","8h",1.23748978605755,2.03276490929941e-08
"RGS5","PIPD_24h","PIPD","24h",-1.37672970307376,0.000443765966737455
"RHPN1-AS1","PIPD_4h","PIPD","4h",1.15132303428915,0.000693464551075557
"RHPN1-AS1","PIPD_8h","PIPD","8h",1.23830742818807,0.000495367104461696
"RINL","PIPD_8h","PIPD","8h",1.44397681447259,1.7846581333847e-07
"RIOX2","PIPD_8h","PIPD","8h",-1.20083484175161,4.81964899041892e-16
"RIPK1","PIPD_24h","PIPD","24h",1.13467771276659,4.8698315688817e-19
"RMI1","PIPD_24h","PIPD","24h",-1.16886604056373,2.96910150780542e-11
"RN7SL2","PIPD_24h","PIPD","24h",-1.15995407603491,0.0191851037474945
"RNASEH1-AS1","PIPD_4h","PIPD","4h",-1.02993481924553,5.92912062989286e-07
"RNASEH1-AS1","PIPD_8h","PIPD","8h",-1.00027083911264,4.33224877619551e-07
"RNASEH1-AS1","PIPD_24h","PIPD","24h",-1.54079370473998,4.04856853677862e-11
"RNASEL","PIPD_8h","PIPD","8h",1.07331790634262,9.80314413223836e-14
"RNASEL","PIPD_24h","PIPD","24h",1.28932714685551,1.75010323480245e-16
"RNF103","PIPD_4h","PIPD","4h",1.13451030212378,5.40667592639808e-15
"RNF122","PIPD_4h","PIPD","4h",1.26523013745834,5.95112435195141e-06
"RNF141","PIPD_8h","PIPD","8h",1.13326535309882,2.23297901100028e-22
"RNF157-AS1","PIPD_8h","PIPD","8h",1.15611267464398,0.00481102816029532
"RNF207","PIPD_24h","PIPD","24h",1.31847898682681,4.768320182832e-09
"RNF213","PIPD_24h","PIPD","24h",1.20728011053289,2.417524349019e-11
"RNF32-AS1","PIPD_4h","PIPD","4h",-1.08038590573845,0.0202721965652805
"RNPS1P1","PIPD_8h","PIPD","8h",-1.27226725748146,0.00863284258481259
"RPIA","PIPD_4h","PIPD","4h",-1.00780281834678,1.00143436391057e-10
"RPIA","PIPD_8h","PIPD","8h",-1.10599162430656,3.03286011312138e-13
"RPIA","PIPD_24h","PIPD","24h",-1.04118796036737,4.7729968636932e-12
"RPP40","PIPD_8h","PIPD","8h",-1.1078381928094,2.10155223888116e-12
"RPP40","PIPD_24h","PIPD","24h",-1.03329359177081,6.52495625135658e-10
"RPS10P7","PIPD_8h","PIPD","8h",1.05764197656074,2.32431449380958e-09
"RPS15P4","PIPD_8h","PIPD","8h",-2.60748360914237,0.043939592718032
"RPS15P5","PIPD_8h","PIPD","8h",-1.12630488838465,0.00659697132402111
"RPS7P10","PIPD_4h","PIPD","4h",-1.19824047321156,0.00610849687311551
"RPSAP29","PIPD_24h","PIPD","24h",-1.09712419013774,9.95797202405642e-06
"RRP15","PIPD_8h","PIPD","8h",-1.49920087170066,2.72480466642738e-20
"RRP9","PIPD_4h","PIPD","4h",-1.04648479931727,6.20025482752518e-15
"RRP9","PIPD_8h","PIPD","8h",-1.46491856832664,8.58897979352162e-20
"RSAD2","PIPD_24h","PIPD","24h",1.04407457430033,0.000275494673817053
"RSL1D1","PIPD_8h","PIPD","8h",-1.08048122691166,1.07333020763118e-18
"RSL1D1","PIPD_24h","PIPD","24h",-1.13288264992231,7.01552188353275e-20
"RSL24D1","PIPD_24h","PIPD","24h",-1.40869814539877,2.42456946748958e-11
"RXYLT1","PIPD_24h","PIPD","24h",-1.12297949746382,9.01321733641473e-15
"SAP25","PIPD_24h","PIPD","24h",1.04781389180913,0.0471107181504501
"SARS1","PIPD_24h","PIPD","24h",-1.50192707890469,6.96770971761321e-12
"SASS6","PIPD_24h","PIPD","24h",-1.30131726852015,6.18619041174812e-16
"SBF2-AS1","PIPD_4h","PIPD","4h",1.13698366465485,2.98592665677652e-07
"SCGB2B2","PIPD_8h","PIPD","8h",1.22885972381469,0.00470227685786606
"SCN1B","PIPD_24h","PIPD","24h",1.3282870396054,1.30981253292388e-06
"SCNN1D","PIPD_8h","PIPD","8h",1.0557962718358,0.00068972957449223
"SCP2","PIPD_24h","PIPD","24h",1.31672360788313,5.46843865195567e-24
"SDC1","PIPD_8h","PIPD","8h",-1.0251110719727,1.63596492055148e-15
"SDC3","PIPD_24h","PIPD","24h",1.08980602347362,3.70920761635871e-16
"SDF2L1","PIPD_24h","PIPD","24h",1.58697566155754,6.98901132946371e-11
"SENP3-EIF4A1","PIPD_8h","PIPD","8h",-1.14184332771439,0.00599617919411679
"SENP8","PIPD_4h","PIPD","4h",1.18685902747502,1.27446535174077e-06
"SERPIND1","PIPD_8h","PIPD","8h",-2.48176726626951,0.000241104829574617
"SETBP1","PIPD_4h","PIPD","4h",1.31245479675214,0.000774719185099548
"SEZ6L2","PIPD_24h","PIPD","24h",1.08259260397035,1.21458139812766e-13
"SFXN3","PIPD_24h","PIPD","24h",1.00855821166088,2.11162151682723e-17
"SGCB","PIPD_24h","PIPD","24h",1.05780276970316,9.42353372428232e-19
