"Time","count","Type"
"1h",1,"PIPD_specific"
"1h",2,"PD_driven"
"1h",2,"PI_driven"
"24h",134,"PI_driven"
"24h",543,"PD_driven"
"24h",547,"PIPD_specific"
"2h",17,"PD_driven"
"2h",20,"PIPD_specific"
"2h",23,"PI_driven"
"4h",71,"PD_driven"
"4h",117,"PI_driven"
"4h",218,"PIPD_specific"
"8h",119,"PI_driven"
"8h",159,"PD_driven"
"8h",406,"PIPD_specific"
